embedding_model,folder,Top-1 (Prozent),Top-3 (Prozent),AvgSimilarity
intfloat/e5-large-v2,data50,89.1,6.5,0.9006
intfloat/e5-large-v2,data100,89.1,6.5,0.9006
intfloat/e5-large-v2,data500,89.1,2.2,0.9006
intfloat/e5-large-v2,data1000,89.1,2.2,0.9006
intfloat/e5-large-v2,data1500,89.1,2.2,0.9006
intfloat/e5-large-v2,data2000,87.0,4.3,0.9006
intfloat/e5-large-v2,data2500,80.4,10.9,0.9006
intfloat/e5-large-v2,data3000,76.1,13.0,0.9006
intfloat/e5-large-v2,data3500,76.1,13.0,0.9006
intfloat/e5-large-v2,data4000,73.9,15.2,0.9006
intfloat/e5-large-v2,data4500,73.9,15.2,0.9006
intfloat/e5-large-v2,data5000,71.7,17.4,0.9006
intfloat/e5-large-v2,data5500,71.7,17.4,0.9006
intfloat/e5-large-v2,data6000,71.7,17.4,0.9006
intfloat/e5-large-v2,data6500,69.6,15.2,0.9006
intfloat/e5-large-v2,data7000,69.6,15.2,0.9006
intfloat/e5-large-v2,data7500,69.6,15.2,0.9006
intfloat/e5-large-v2,data8000,69.6,15.2,0.9006
intfloat/e5-large-v2,data8500,69.6,15.2,0.9006
intfloat/e5-large-v2,data9000,69.6,10.9,0.9006
intfloat/e5-large-v2,data9500,69.6,10.9,0.9006
intfloat/e5-large-v2,data10000,69.6,10.9,0.9006
intfloat/e5-large-v2,data10500,69.6,10.9,0.9006
intfloat/e5-large-v2,data11000,69.6,10.9,0.9006
intfloat/e5-large-v2,data11500,69.6,10.9,0.9006
intfloat/e5-large-v2,data12000,69.6,10.9,0.9006
intfloat/e5-large-v2,data12500,69.6,10.9,0.9006
intfloat/e5-large-v2,data13000,67.4,13.0,0.9006
intfloat/e5-large-v2,data13500,67.4,13.0,0.9006
intfloat/e5-large-v2,data14000,67.4,10.9,0.9006
intfloat/e5-large-v2,data14500,67.4,10.9,0.9006
intfloat/e5-large-v2,data15000,67.4,10.9,0.9006
intfloat/e5-large-v2,data15500,69.6,8.7,0.9006
intfloat/e5-large-v2,data16000,67.4,10.9,0.9006
intfloat/e5-large-v2,data16500,67.4,10.9,0.9006
intfloat/e5-large-v2,data17000,65.2,13.0,0.9006
intfloat/e5-large-v2,data17500,65.2,13.0,0.9006
intfloat/e5-large-v2,data18000,65.2,13.0,0.9006
intfloat/e5-large-v2,data18500,65.2,13.0,0.9006
intfloat/e5-large-v2,data19000,65.2,13.0,0.9006
intfloat/e5-large-v2,data19500,63.0,15.2,0.9006
intfloat/e5-large-v2,data20000,65.2,13.0,0.9006
intfloat/e5-large-v2,data20500,63.0,15.2,0.9006
intfloat/e5-large-v2,data21000,63.0,15.2,0.9006
intfloat/e5-large-v2,data21500,65.2,13.0,0.9006
intfloat/e5-large-v2,data22000,63.0,15.2,0.9006
intfloat/e5-large-v2,data22500,65.2,13.0,0.9006
intfloat/e5-large-v2,data22842,65.2,13.0,0.9006
